Scenario,Model,RMSE,MAE,CRPS,Coverage,AIW
1,Gaussian Neural Model,0.309 (0.149),0.204 (0.089),0.146 (0.065),0.920 (0.093),0.919 (0.168)
1,Proposed Adaptive NSST-BNF,0.279 (0.146),0.177 (0.081),0.127 (0.055),0.966 (0.053),1.075 (0.196)
1,Sparse Variational GP,0.391 (0.124),0.285 (0.088),0.207 (0.054),0.969 (0.047),1.653 (0.225)
1,Stationary Skew-t Neural Model,0.305 (0.137),0.199 (0.077),0.142 (0.057),0.931 (0.088),0.941 (0.169)
2,Gaussian Neural Model,0.296 (0.126),0.208 (0.088),0.147 (0.064),0.917 (0.073),0.890 (0.206)
2,Proposed Adaptive NSST-BNF,0.263 (0.125),0.179 (0.084),0.125 (0.056),0.978 (0.058),1.041 (0.274)
2,Sparse Variational GP,0.371 (0.157),0.277 (0.114),0.205 (0.078),0.977 (0.046),1.745 (0.520)
2,Stationary Skew-t Neural Model,0.294 (0.122),0.207 (0.086),0.146 (0.063),0.931 (0.081),0.904 (0.214)
3,Gaussian Neural Model,0.310 (0.127),0.216 (0.091),0.153 (0.067),0.894 (0.124),0.897 (0.232)
3,Proposed Adaptive NSST-BNF,0.273 (0.112),0.187 (0.076),0.129 (0.051),0.961 (0.087),1.086 (0.303)
3,Sparse Variational GP,0.383 (0.157),0.294 (0.112),0.216 (0.079),0.980 (0.036),1.796 (0.492)
3,Stationary Skew-t Neural Model,0.307 (0.124),0.212 (0.087),0.149 (0.063),0.912 (0.114),0.924 (0.251)
4,Gaussian Neural Model,0.529 (0.443),0.393 (0.355),0.300 (0.309),0.791 (0.205),1.137 (0.347)
4,Proposed Adaptive NSST-BNF,0.480 (0.330),0.354 (0.280),0.257 (0.213),0.925 (0.098),1.593 (0.648)
4,Sparse Variational GP,0.497 (0.262),0.378 (0.193),0.275 (0.141),0.977 (0.044),2.234 (1.052)
4,Stationary Skew-t Neural Model,0.524 (0.441),0.389 (0.355),0.299 (0.310),0.786 (0.209),1.145 (0.337)
5,Gaussian Neural Model,0.463 (0.188),0.341 (0.150),0.255 (0.117),0.794 (0.124),1.044 (0.298)
5,Proposed Adaptive NSST-BNF,0.441 (0.192),0.319 (0.145),0.229 (0.103),0.900 (0.085),1.432 (0.571)
5,Sparse Variational GP,0.436 (0.157),0.334 (0.127),0.238 (0.087),0.983 (0.035),1.956 (0.682)
5,Stationary Skew-t Neural Model,0.468 (0.189),0.344 (0.153),0.257 (0.119),0.792 (0.120),1.062 (0.294)
