Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R,PriorSetting,PriorMultiplier,MeanPriorSD,AlphaPriorSD,RangePriorSD
4,3001,Proposed Adaptive NSST-BNF,0.3210035932727987,0.20820044671213614,0.15622941477541624,0.9375,1.2819272920377478,7.505032500001107,700,1,2526.186632077677,2561.2831976434404,35.018350881941345,-0.2646480889311903,-0.00010332636749215587,0.013672190140536064,757.2633144986605,3006.9467807504716,300,1.5517732752493518,-0.014750136304967354,0.6910620006545906,-0.011796519867158128,0.9900856409350665,-3.8847608886214458,0.7598186002446496,0.5573499687502704,baseline,1.0,0.35,0.5,0.35
4,3002,Proposed Adaptive NSST-BNF,0.13199106584103532,0.1040369174813906,0.09003267932824721,1.0,1.2358534697079082,8.801012771000387,800,1,2200.658026233422,2237.4361268758294,39.94270629369406,-0.24429458650494087,-0.00010918505497006232,0.01785199846105405,109.41874099629355,405.91616273442486,300,1.5184675923036968,-0.011301568536706386,0.7232618408328608,-0.0028807516830229307,0.9390768709344819,-3.493915122481094,0.7800599480222988,0.5796921148836665,baseline,1.0,0.35,0.5,0.35
4,3003,Proposed Adaptive NSST-BNF,0.5413209436242944,0.37511632613635715,0.2540804392673297,0.9375,1.4073514102977136,8.28263765599877,800,1,2125.447904220826,2152.902862036605,27.233821214009858,-0.23971385035404102,-0.00011134448032052696,0.01264981420863883,80.45874483927734,324.45898367421825,300,1.4408892362627947,-0.018429267935426985,0.6713447149087036,-0.005999656285718968,0.8639566579827563,-3.161788884495995,0.7247478885199107,0.594422227328714,baseline,1.0,0.35,0.5,0.35
4,3004,Proposed Adaptive NSST-BNF,0.4663079030464876,0.262213985708433,0.17691421490555445,0.9375,1.146665502567174,8.610552399999506,800,1,2264.564377931947,2291.777752187303,29.127237627567713,-0.24401927415358002,-0.00010647597652987279,0.012709451254498075,152.62392653799722,495.2195415388581,300,1.3555842088682057,-0.13179390041566164,0.6475145412244657,-0.1264970702486956,0.8787637149389231,-3.5850949371975362,0.7482254290808422,0.5964730112595272,baseline,1.0,0.35,0.5,0.35
4,3005,Proposed Adaptive NSST-BNF,0.19092378392571577,0.12818320342322376,0.09514676304277231,0.9375,0.7326436119682811,8.898709064998911,800,1,2613.7124480902085,2456.7454021804238,37.46237500452654,-0.21057017156989496,-8.571102702909651e-05,0.015248781974427517,428.36927698906055,1913.6792850295851,300,1.48466098121967,-0.00393436033309702,0.7077479649007808,-0.01314954038157734,0.8561775115799533,-3.694371888845727,0.7030367442063539,0.6540919109763742,baseline,1.0,0.35,0.5,0.35
4,3001,Proposed Adaptive NSST-BNF,0.2783977997250399,0.20029722487994175,0.14481743070356842,0.9375,1.2303445999248408,9.397071331999541,800,1,2449.4479168488397,2503.1906551650154,45.174898060773124,-0.40103325770083187,-0.00016020883462206548,0.018046926616460658,577.4440725909826,2656.4139083989403,300,1.5614560968563123,-0.02745340931829854,0.7016894316494761,-0.04315543736468119,0.9822296330672903,-3.8075504475733926,0.7461343600435635,0.5670033218199044,strong,0.5,0.175,0.25,0.175
4,3002,Proposed Adaptive NSST-BNF,0.1586997873439369,0.13615494154471053,0.10189091974208145,1.0,1.4066572055926168,10.292755061000207,900,1,1721.5099081882215,1752.144586155751,33.145035052619534,-0.20689661536082316,-0.00011808193056416615,0.018916837865156178,184.3807156202638,316.18851161020297,300,1.518142906614047,-0.01086913251543331,0.7231028719189223,-0.002439944953460005,0.9396075118258198,-3.4989952792699484,0.7809895510403008,0.5789814728304205,strong,0.5,0.175,0.25,0.175
4,3003,Proposed Adaptive NSST-BNF,0.5658329912566914,0.3868595664824187,0.2584229566316292,1.0,1.533012818704512,10.199437162000322,900,1,1383.030511992641,1399.3449465608487,23.328338767891793,-0.1315458929473143,-9.400533676175613e-05,0.01667089935560601,98.83024538488439,285.1643792413777,300,1.447578984593002,-0.027907930242647483,0.6762501634880423,-0.02075484482042178,0.873209352031885,-3.251409033051331,0.7426497623652822,0.5854542974981437,strong,0.5,0.175,0.25,0.175
4,3004,Proposed Adaptive NSST-BNF,0.39253772468472353,0.2629652985963662,0.1646459284477238,1.0,1.4301039376214348,10.420228957998916,900,1,1815.2494644664796,1843.9136076267832,23.91849694561497,-0.2298284464400361,-0.00012464165646883948,0.012971593054405275,203.2655687866329,388.0742743903531,300,1.331934595350496,-0.09264767375881244,0.6264626599421041,-0.05443884139773081,0.876961955433891,-3.5663122562708978,0.7448933890136464,0.5983295914827242,strong,0.5,0.175,0.25,0.175
4,3005,Proposed Adaptive NSST-BNF,0.17280240728958823,0.11127579002175231,0.080207041404705,1.0,0.7870635293570991,9.47032887900059,800,1,2184.3699519380457,2151.840562098835,46.171150145565505,-0.4712319329397329,-0.0002189901711305732,0.02145658510151498,294.1632185991258,857.4092815013785,300,1.4841248146499166,-0.0032093748269828026,0.7067812906989835,-0.010383819454776955,0.8571698267949168,-3.7052598088968196,0.7049667414389698,0.6532999198784153,strong,0.5,0.175,0.25,0.175
4,3001,Proposed Adaptive NSST-BNF,0.36518328437550346,0.221744320057023,0.17685753983450883,0.875,1.2329715757408888,7.587974319998466,600,1,3055.5339023105457,3118.8559932871985,56.225576637457415,-0.5116165568083273,-0.00016403981392840638,0.01802762832220317,723.0946846190351,2691.996539168199,300,1.5840525794722555,-0.0574059944577312,0.7326614106927347,-0.13727578109632188,0.9779422987427892,-3.765673086878855,0.7344655263393836,0.552961061373217,weak,2.0,0.7,1.0,0.7
4,3002,Proposed Adaptive NSST-BNF,0.13958170855538424,0.11004298915443035,0.08737755379670058,1.0,1.0837816123279462,7.780758901000809,600,1,2913.8607954144304,2990.1159358459663,69.63953821149991,-0.6218927159009311,-0.0002079828104474432,0.02328991239993422,185.57419893213762,860.5838192312971,300,1.528500816224539,-0.024710003264517777,0.7313791203900469,-0.025518045466285555,0.9247243453550476,-3.3575979725233482,0.7535631449440154,0.5905052537521145,weak,2.0,0.7,1.0,0.7
