Scenario,Model,N,RMSE_mean,RMSE_sd,RMSE_se,RMSE_median,RMSE_iqr,MAE_mean,MAE_sd,MAE_se,MAE_median,MAE_iqr,CRPS_mean,CRPS_sd,CRPS_se,CRPS_median,CRPS_iqr,Coverage_mean,Coverage_sd,Coverage_se,Coverage_median,Coverage_iqr,AIW_mean,AIW_sd,AIW_se,AIW_median,AIW_iqr
1,Gaussian Neural Model,40,0.30928952012307187,0.14862842313670405,0.023500217107562612,0.27652292916565635,0.19937431741811898,0.20419344644137336,0.08929885793499462,0.014119389176319164,0.1696304638356163,0.11122752369074881,0.1455099583693325,0.06519944812135137,0.01030893791247283,0.1204710199075874,0.07684795712166592,0.9203125,0.0927969721751297,0.014672489602033966,0.9375,0.1875,0.9185901659411005,0.16779946071502239,0.02653142430037084,0.8965706322281212,0.2420087996023632
1,Proposed Adaptive NSST-BNF,40,0.27927733161979607,0.1460054223110163,0.023085484261878834,0.24311990539296724,0.22950324408783446,0.17728233217430786,0.08122113262264863,0.012842188661308745,0.1548216504098786,0.12325942755603551,0.1271421890669592,0.0554021969938287,0.008759856493891612,0.1124256083195593,0.07958731847907781,0.965625,0.05286275772078254,0.008358335889766207,1.0,0.0625,1.074849154864283,0.1957837394178539,0.030956127269265336,1.0662108438846425,0.27124283175415853
1,Sparse Variational GP,40,0.39050887963226916,0.12438061011434075,0.019666301236134644,0.38427416894558564,0.20710014651893405,0.28480023486691064,0.08846195014586894,0.013987062436060512,0.28229840204234474,0.1166549112653929,0.20666907810028698,0.0544549706655467,0.008610086861039137,0.19982904929760176,0.07895589223618757,0.96875,0.046941726012425675,0.00742213857494193,1.0,0.0625,1.6532343239424414,0.22543212256301073,0.03564394825326744,1.6537368551461573,0.2907090272292012
1,Stationary Skew-t Neural Model,40,0.3045825791170764,0.13674084530015507,0.021620626016261035,0.2812532859818164,0.19256945771083855,0.1985010618176015,0.07704537923777911,0.012181944079141478,0.1871048530861377,0.09836412332984576,0.14191826181202488,0.05742639365265733,0.009079910087591674,0.12859595153531939,0.07390938328612737,0.93125,0.08816141955206878,0.013939544376911943,0.9375,0.125,0.9405465738113568,0.16947941782729262,0.0267970488426795,0.9382492514059726,0.22400943418436214
2,Gaussian Neural Model,40,0.29635137206317597,0.1256582428513442,0.019868312709240932,0.26805035292983526,0.168218863444779,0.20807968099140509,0.0882117475895004,0.01394750193833445,0.19182227712720484,0.11777527576902222,0.14682538119887054,0.06359218255491246,0.01005480691273745,0.13448237890677855,0.07496052239785203,0.9171875,0.07270459085952745,0.011495605173338289,0.9375,0.078125,0.890086716151624,0.2059612747786742,0.03256533690462012,0.8696881933956178,0.230209957473411
2,Proposed Adaptive NSST-BNF,40,0.26261218547819987,0.12497440747429679,0.019760188842437444,0.2238955372296147,0.13882305502034442,0.17925694631667022,0.08365274936219773,0.013226661025987125,0.158550763383708,0.09250850111701409,0.12507097087284005,0.05649003971532353,0.008931859530689605,0.10979660573251815,0.05625552293284278,0.978125,0.0575786808391742,0.009103988805984285,1.0,0.0,1.0413694137755374,0.2740325988798965,0.04332835827978895,1.014994820473663,0.27436546265209794
2,Sparse Variational GP,40,0.3713130382365617,0.15650178558766986,0.024745105017017502,0.33509494988752997,0.19390642541873165,0.27693592128860633,0.11352595719201218,0.017950029913876592,0.23815474196072814,0.15297692079530678,0.20474477125934243,0.07804158569315599,0.012339458150079169,0.18872094025040032,0.1028280921145569,0.9765625,0.0462701359493273,0.007315950862275577,1.0,0.015625,1.74484383570747,0.5196412074550353,0.082162489081899,1.6417416095391373,0.5194097456580449
2,Stationary Skew-t Neural Model,40,0.29362663261376165,0.12236787049902514,0.019348059160072224,0.2636687597470641,0.15048484561458053,0.20695471481168953,0.08621120741950876,0.013631188763942748,0.18477890698729593,0.09978550892855609,0.14594366555735824,0.06296747467589252,0.009956031924239652,0.13150302502114863,0.06657127137259816,0.93125,0.08105869984469785,0.012816505784059105,0.9375,0.078125,0.9039989054896832,0.21373401474619402,0.033794315002499416,0.8863065884900896,0.2557225100097188
3,Gaussian Neural Model,40,0.3104450907551448,0.1268780796824223,0.020061185847239375,0.2819735652609351,0.17568411888554167,0.2162538108727951,0.0913913831646656,0.014450246465675526,0.20047186486741303,0.0983379216764298,0.15346377747093348,0.06703478197250928,0.010599129674296204,0.14590363720026556,0.07397995174423674,0.89375,0.12435732222005903,0.019662619096742672,0.9375,0.125,0.8972689394465929,0.23243318675236,0.036750913697436646,0.8312895974316767,0.31184308595024735
3,Proposed Adaptive NSST-BNF,40,0.2726982190813517,0.11177644368196792,0.017673407539427807,0.24718969244635353,0.17181965833411073,0.18653533435350195,0.07590437853882875,0.012001536028115116,0.17735713599735314,0.10463157939650039,0.12933332311424744,0.05096759830863772,0.008058684876192037,0.11968028703617825,0.06563918970568172,0.9609375,0.08688831524965297,0.013738248912182255,1.0,0.0625,1.0862864040931088,0.3029153465404396,0.047895121664349755,0.9909200583495632,0.44933537498125187
