stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,nu,omega,u,sigma,alpha_mean,phi_mean,jitter
residual,1,636230.3843513506,13508001.139518758,0.009523809523809525,-636195.2083416671,3.6643425080679517,0.8708586520056589,0.9510647902310739,0.36371050534452537,-0.19802204998056483,0.2859045243977813,1e-08
residual,2,1223699.4751040414,28347789.19259924,0.01904761904761905,-1223629.216851064,4.482976418651551,0.5497835952793687,-0.35510262897782174,0.3956760504791466,-0.4659356348645175,0.3050455720690029,1e-08
residual,3,132484.45226696768,2512986.023313486,0.02857142857142857,-132379.00129632017,6.592243684330798,0.8176662772240268,0.999918856867616,0.42014879018362694,-0.3099597175668683,0.2704593425777616,1e-08
residual,4,973246.0999710638,21199691.509154648,0.0380952380952381,-973105.4525112589,2.4504854422860562,1.3080347303943847,-0.44829806763381297,0.4251051520332519,0.2630220651053525,0.29295514039928994,1e-08
residual,5,33881.86256760881,558992.5935691213,0.047619047619047616,-33706.0369221874,3.2585852106237088,0.9224219134644224,0.4037603106664954,0.45264716811208006,-0.28526705923939955,0.251196525781051,1e-08
residual,6,111372.9814435868,2031075.0592399104,0.05714285714285714,-111161.85497454116,4.809835782453824,1.0597307853096307,-0.6776019793810598,0.41807463536929146,-0.11237148119082481,0.2653122125628907,1e-08
residual,7,6260901.849963179,157975121.53877285,0.06666666666666667,-6260655.760500004,5.250751496210196,0.9054849346611048,0.42236909758560304,0.48136946560525584,0.1412044351678672,0.3237100645680007,1e-08
residual,8,1831701.7342269255,42621018.605643034,0.0761904761904762,-1831420.3084136962,4.166592213493054,0.9752235398404495,-0.12229201574743254,0.44368795781965553,-0.06380029645970076,0.305644779676207,1e-08
residual,9,102658.87059980941,1861125.3237831427,0.08571428571428572,-102342.57749792527,2.8481392451967427,0.9572552740928766,-0.2782097554127737,0.41304896161286697,0.4612067204153618,0.2640921708295565,1e-08
residual,10,28252754.718872603,723856296.4635998,0.09523809523809523,-28252403.021482065,4.398892979321051,0.7510032959281328,0.19429655406290913,0.3899389925007395,-0.1184935356104869,0.3427825034429686,1e-08
residual,11,186935.62180534835,3508654.5972750694,0.10476190476190476,-186548.71876918842,5.293999988087182,1.0591224456298869,-0.2707215874670529,0.3801106130094248,-0.0008994998663095636,0.26947209267956623,1e-08
residual,12,1011416.3646044191,22715082.356359437,0.11428571428571428,-1010994.0964092223,3.550616368052699,0.8830935463840249,-0.3581321801372792,0.43521022519784686,-0.22107935506231569,0.2993414507325347,1e-08
residual,13,3670263.7539087017,88328001.73574059,0.12380952380952381,-3669806.313799965,3.4937686920670847,1.1271772669885585,-0.677250994839016,0.4272681277565861,-0.2559514195869061,0.3128274114826639,1e-08
residual,14,99025130.13755815,2385820896.262826,0.13333333333333333,-99024637.63473082,3.544269304372891,1.0903034554098083,-0.5739868632756824,0.426040284573742,-0.37413798244535484,0.35604731262450057,1e-08
residual,15,1476421.0417115025,33207279.804478295,0.14285714285714285,-1475893.2633199876,3.5801534408040903,1.1401465448188315,-0.7757323074683324,0.40489032082799875,-0.071974936306606,0.3006454351296173,1e-08
residual,16,41356.35070816404,678532.0243513751,0.1523809523809524,-40793.652817769645,4.97796189156535,0.9298649599824551,0.1501936059146456,0.4219370172833325,-0.13774891719237903,0.25326430400380207,1e-08
residual,17,71245739.64567307,1808162429.2723067,0.1619047619047619,-71245141.78580238,3.3986971571160822,1.1801218941156923,0.954424867247544,0.3797477728410902,-0.24173735335307253,0.34807334932338135,1e-08
residual,18,43309.09057239952,710962.2126829589,0.17142857142857143,-42676.370737143094,3.0647285235957953,0.8692966223667785,-0.33710569902203263,0.40450853912871615,0.11308387866745838,0.2530838653614332,1e-08
residual,19,58790.51034895177,944538.470626895,0.18095238095238095,-58122.405950351735,3.3059639978783926,1.1644795214870651,-0.5500269900541118,0.36728208186873107,-0.45410507748734397,0.25026701285461495,1e-08
residual,20,5835999.105050817,144129038.40630388,0.19047619047619047,-5835295.813532608,3.879944092195396,1.064407107802344,-0.08518176099193941,0.4406982676936636,-0.4520810241113025,0.32030205887821056,1e-08
residual,21,633306.6700516538,12854149.425271414,0.2,-632568.2614146658,2.847524840327784,1.3618591719541515,0.12340991531894674,0.36824899165467995,-0.07528615110799769,0.28274629218696784,1e-08
residual,22,73501464.38407302,1786600025.604796,0.20952380952380953,-73500690.47186987,2.7978433143689045,0.8691039624787882,0.6246903413567136,0.4328768813418187,-0.12192176155777688,0.3552688303651879,1e-08
residual,23,1061194.0764068183,23527696.985385887,0.21904761904761905,-1060385.082915481,2.5465600839814053,0.876065510192735,-0.41070356385140566,0.389663166541762,-0.008040577561349651,0.2983748262609301,1e-08
residual,24,97894.776125678,1732353.6893791913,0.22857142857142856,-97050.73932508762,4.175514143103152,0.9101087439832106,0.3073607836789437,0.37087225798973067,-0.007651338510883135,0.2613846214182981,1e-08
residual,25,95176.66732177125,1733979.1394604112,0.23809523809523808,-94297.57973043941,3.717404399902848,0.836463303181529,-0.6934492698529346,0.4293802372049988,-0.026416793931564146,0.26728474578633055,1e-08
residual,26,103491150.9517816,2500667903.254663,0.24761904761904763,-103490236.72275412,3.194975973345574,0.8757271156999682,0.8636926448695802,0.3727496310596888,-0.14634418508070668,0.35740544349563447,1e-08
residual,27,5995643.808614155,148184223.25367978,0.2571428571428571,-5994694.520042565,4.959733656416102,1.123914310748694,-0.12499344066395446,0.4454596394345091,0.056800787675832264,0.3196148868040928,1e-08
residual,28,71000.24755738057,1193619.6710999266,0.26666666666666666,-70016.36662272885,7.036326691813341,1.2296899770790528,-0.3581735448155449,0.4212723928797225,0.05504341758441145,0.25552553235035047,1e-08
residual,29,253628.60251546054,4963322.706729486,0.2761904761904762,-252609.41301388814,3.1662809375753502,1.0609031063297025,-0.14939405015948037,0.4369962369733444,-0.29767434591747105,0.2775856373084465,1e-08
residual,30,99699844.63423885,2371286034.39941,0.2857142857142857,-99698789.97843447,3.499240919185103,1.0198663504945173,-0.2328141005789789,0.4525133319958113,0.1881079329148154,0.3575180205146908,1e-08
residual,31,430671.58226512955,8606988.138640942,0.29523809523809524,-429581.6593090848,2.841751015250048,1.2011838796180416,0.21784374141988694,0.39458727909188346,0.172863601244001,0.2767487692620104,1e-08
residual,32,137781172.51913217,3287273595.2046347,0.3047619047619048,-137780047.25357604,4.26678604219989,1.1484141641779266,0.6420591281485856,0.4042762044008578,-0.14996066092436325,0.35845406503608745,1e-08
residual,33,695006.6901283305,15070088.422314925,0.3142857142857143,-693846.175104777,3.5232232116368767,0.9443001233644548,-0.45166689792739484,0.41254737882008935,-0.414206965054287,0.29210595325948363,1e-08
residual,34,122132.23475301695,2191173.6375380633,0.3238095238095238,-120937.14631407222,4.847313977361793,1.2139336533782839,-0.370033485065259,0.44323769997424767,0.1699595488691561,0.26482651409234864,1e-08
residual,35,154206.48941677524,2960486.651029133,0.3333333333333333,-152975.6673608088,3.7604512112220347,0.9118015793543379,-0.7854856032829008,0.46034963613469376,-0.043017223685815544,0.27432059263400216,1e-08
residual,36,182125.86992755922,3475259.3500897344,0.34285714285714286,-180860.0064781527,4.342141504163096,1.1361928542806312,0.4502818574322155,0.4574515356674492,0.013043876570168197,0.2732978004683793,1e-08
residual,37,303985107.99315524,4629816716.478924,0.3523809523809524,-303983808.05982995,2.5311252120060566,0.6758749383335337,-0.14099323080680948,0.44468850550267475,-0.12308404377018699,0.39136149382498564,1e-08
residual,38,92859.9999681424,1625931.717132719,0.3619047619047619,-91523.40710733666,3.6400761727292155,1.0994800276822767,-0.36716435699804006,0.4156790182655563,-0.14132921604309104,0.2623665031130032,1e-08
residual,39,780344.4988930617,17119415.108128566,0.37142857142857144,-778973.2680805103,3.7025121235775575,0.9581278863749667,0.2884653073057234,0.43541774756489227,-0.16896176447994068,0.2958509214300071,1e-08
