stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,phi,sigma,jitter
joint,1,3750021.170114726,92563106.57257397,0.005555555555555556,-3750007.7559866663,0.31734455624430685,0.508439968943707,1e-08
joint,2,1078389.612961396,24199960.07224754,0.011111111111111112,-1078362.7989168498,0.2934712462126078,0.41395631545140216,1e-08
joint,3,8359957.064511868,213368278.77455735,0.016666666666666666,-8359916.828701667,0.328440217268197,0.5300406888822171,1e-08
joint,4,8784906.157967092,222420952.62029174,0.022222222222222223,-8784852.475710124,0.3257549213677137,0.45205373508486724,1e-08
joint,5,22953614.876623996,591312896.7442166,0.027777777777777776,-22953547.770014297,0.3405758980903283,0.48057471221625003,1e-08
joint,6,35324994.75656498,896851691.3860109,0.03333333333333333,-35324914.26357711,0.34714473337382673,0.5229394107632056,1e-08
joint,7,10992229.790466696,278186749.34252566,0.03888888888888889,-10992135.849973824,0.3284944746546159,0.429383077792261,1e-08
joint,8,114525380.65293585,2620484183.758668,0.044444444444444446,-114525273.27032302,0.36122470450751304,0.46675652644782784,1e-08
joint,9,292655800.4322857,4765203812.394903,0.05,-292655679.67617553,0.3846906838490442,0.4956472518029451,1e-08
joint,10,92142000.83061081,2237921907.360981,0.05555555555555555,-92141866.65087867,0.35582544043558645,0.4039678659982224,1e-08
joint,11,13856726.771663502,354551264.011544,0.06111111111111111,-13856579.119928418,0.3349078424162613,0.48939239091327863,1e-08
joint,12,16959144.65317638,434383982.1193313,0.06666666666666667,-16958983.549858216,0.33546356417745954,0.4566781837644015,1e-08
joint,13,63271158.90413593,1535935955.5819728,0.07222222222222222,-63270984.39380251,0.35586355600850206,0.4955812191027453,1e-08
joint,14,2872627.5039564194,69634712.3224665,0.07777777777777778,-2872439.6017269487,0.3146011493984601,0.4921796140266161,1e-08
joint,15,238192411.77812836,4436547545.954374,0.08333333333333333,-238192210.40242016,0.3753358750092362,0.46778995273859947,1e-08
joint,16,1689244.7381742238,38837121.64028847,0.08888888888888889,-1689030.0862737636,0.30214729384715117,0.40942760453904864,1e-08
joint,17,510088717.4412728,6806686394.711645,0.09444444444444444,-510088489.4140864,0.40264175887098225,0.5225815245008975,1e-08
joint,18,2116700.6797594936,51400674.19878,0.1,-2116459.1596884197,0.314232634443995,0.534755267630623,1e-08
joint,19,25724570.44992773,660141427.4600282,0.10555555555555556,-25724315.27057707,0.3411299421460297,0.4468706051856306,1e-08
joint,20,16738864.591302447,429916624.34279686,0.1111111111111111,-16738596.276557382,0.34252554480307684,0.5651111343070077,1e-08
joint,21,48800544.236874126,1222704585.8413463,0.11666666666666667,-48800262.14681878,0.3503820995322948,0.4600727605738918,1e-08
joint,22,314448557.2800164,5395946062.099594,0.12222222222222222,-314448261.8317512,0.38200141088871975,0.4504997877997083,1e-08
joint,23,10783031.953605097,273217301.9019359,0.12777777777777777,-10782722.967595417,0.3311724801974204,0.4836695747115366,1e-08
joint,24,4280620.257277559,104477660.92520458,0.13333333333333333,-4280297.838634949,0.3179523170516082,0.4516077610108142,1e-08
joint,25,134325.87531624807,2608582.23012469,0.1388888888888889,-133990.47725194745,0.2729326980007295,0.48860330675965824,1e-08
joint,26,690635.0335839385,15406993.672892803,0.14444444444444443,-690285.879826428,0.29674898546967377,0.4981981852259878,1e-08
joint,27,80225103.61688076,1866357111.518754,0.15,-80224740.76423292,0.3605612363225582,0.4842087052767016,1e-08
joint,28,4667182.295706797,114402675.82051769,0.15555555555555556,-4666806.013981939,0.3180261077199271,0.4383565616129708,1e-08
joint,29,40828665.91303066,1031030029.4400123,0.16111111111111112,-40828276.05364759,0.34906012098310557,0.46123478846600807,1e-08
joint,30,440413195.2692407,6562891544.954592,0.16666666666666666,-440412792.15575993,0.39373553331308636,0.46422321671641825,1e-08
joint,31,35062858.99790321,882142625.9330904,0.17222222222222222,-35062442.21306556,0.3496065397507713,0.49969683222714695,1e-08
joint,32,360538515.23389596,5809622906.155003,0.17777777777777778,-360538085.1114747,0.38775755910229526,0.44848629648453525,1e-08
joint,33,10534319.476221073,268086124.08682302,0.18333333333333332,-10533875.693744376,0.3334206238115457,0.5020039297116176,1e-08
joint,34,7438476.461554364,190373915.9227462,0.18888888888888888,-7438019.827208826,0.33337815038031093,0.5890242435656837,1e-08
joint,35,11756040.763810763,299370576.242389,0.19444444444444445,-11755569.92191697,0.3339823444970939,0.48958494391932533,1e-08
