station,n,zeros,longitude,latitude,observed_fraction,zero_fraction,eligible
1,89,0,-91.404,39.933,1.0,0.0,True
2,89,0,-88.23,40.124,1.0,0.0,True
3,89,0,-87.546,41.757,1.0,0.0,True
4,88,0,-87.671,41.978,0.9887640449438202,0.0,True
5,79,0,-87.568,41.708,0.8876404494382022,0.0,True
6,89,0,-87.726,41.739,1.0,0.0,True
7,89,0,-87.558,41.616,1.0,0.0,True
8,89,0,-87.792,41.984,1.0,0.0,True
9,89,0,-87.99,41.668,1.0,0.0,True
10,89,0,-87.753,41.855,1.0,0.0,True
11,87,0,-87.898,42.039,0.9775280898876404,0.0,True
12,89,0,-87.676,42.062,1.0,0.0,True
13,78,0,-88.073,41.813,0.8764044943820225,0.0,True
14,88,0,-88.549,39.067,0.9887640449438202,0.0,True
15,85,0,-88.273,42.05,0.9550561797752809,0.0,True
16,86,0,-87.865,42.177,0.9662921348314607,0.0,True
17,84,0,-87.847,42.391,0.9438202247191011,0.0,True
18,88,0,-87.982,42.29,0.9887640449438202,0.0,True
19,89,0,-88.241,42.221,1.0,0.0,True
20,83,0,-88.926,39.867,0.9325842696629213,0.0,True
21,88,0,-89.811,39.401,0.9887640449438202,0.0,True
22,88,0,-90.148,38.89,0.9887640449438202,0.0,True
23,88,0,-89.959,38.726,0.9887640449438202,0.0,True
24,88,0,-90.04,38.793,0.9887640449438202,0.0,True
25,88,0,-90.106,38.861,0.9887640449438202,0.0,True
26,88,0,-90.16,38.33,0.9887640449438202,0.0,True
27,89,0,-89.608,40.688,1.0,0.0,True
28,89,0,-89.586,40.746,1.0,0.0,True
29,89,0,-90.514,41.512,1.0,0.0,True
30,88,0,-90.16,38.612,0.9887640449438202,0.0,True
31,87,0,-89.606,39.844,0.9775280898876404,0.0,True
32,87,0,-88.049,41.592,0.9775280898876404,0.0,True
33,85,0,-89.077,42.288,0.9550561797752809,0.0,True
34,89,0,-89.037,42.335,1.0,0.0,True
35,89,0,-85.018,41.22,1.0,0.0,True
36,84,0,-85.102,41.095,0.9438202247191011,0.0,True
37,88,0,-85.289,40.981,0.9887640449438202,0.0,True
38,64,0,-85.668,38.376,0.7191011235955056,0.0,True
39,89,0,-86.001,40.056,1.0,0.0,True
40,87,0,-85.841,39.935,0.9775280898876404,0.0,True
41,77,0,-86.018,39.613,0.8651685393258427,0.0,True
42,82,0,-87.499,38.548,0.9213483146067416,0.0,True
43,69,0,-87.485,38.741,0.7752808988764045,0.0,True
44,88,0,-87.335,41.6,0.9887640449438202,0.0,True
45,74,0,-87.494,41.639,0.8314606741573034,0.0,True
46,85,0,-86.249,39.647,0.9550561797752809,0.0,True
47,89,0,-86.02,39.858,1.0,0.0,True
48,83,0,-86.186,39.749,0.9325842696629213,0.0,True
49,77,0,-86.064,39.793,0.8651685393258427,0.0,True
50,85,0,-86.567,39.396,0.9550561797752809,0.0,True
51,87,0,-87.087,41.631,0.9775280898876404,0.0,True
52,71,0,-87.199,41.617,0.797752808988764,0.0,True
53,88,0,-86.111,41.753,0.9887640449438202,0.0,True
54,86,0,-86.236,41.692,0.9662921348314607,0.0,True
55,86,0,-86.838,40.402,0.9662921348314607,0.0,True
56,88,0,-87.57,38.021,0.9887640449438202,0.0,True
57,89,0,-87.536,38.114,1.0,0.0,True
58,88,0,-87.401,39.486,0.9887640449438202,0.0,True
59,86,0,-87.314,37.937,0.9662921348314607,0.0,True
60,83,0,-91.604,41.707,0.9325842696629213,0.0,True
61,88,0,-91.662,41.992,0.9887640449438202,0.0,True
62,89,0,-91.547,42.094,1.0,0.0,True
63,89,42,-93.467,41.7,1.0,0.47191011235955055,False
64,84,20,-93.572,41.608,0.9438202247191011,0.23809523809523808,False
65,89,0,-90.431,41.648,1.0,0.0,True
66,89,0,-84.853,38.918,1.0,0.0,True
67,89,0,-85.704,37.998,1.0,0.0,True
68,89,0,-84.477,39.107,1.0,0.0,True
69,89,0,-87.075,37.783,1.0,0.0,True
70,83,0,-86.074,37.218,0.9325842696629213,0.0,True
71,83,0,-84.467,38.126,0.9325842696629213,0.0,True
72,86,0,-84.5,38.065,0.9662921348314607,0.0,True
73,87,0,-86.898,37.939,0.9775280898876404,0.0,True
74,89,0,-87.577,37.861,1.0,0.0,True
75,87,0,-85.578,38.137,0.9775280898876404,0.0,True
76,89,0,-85.712,38.264,1.0,0.0,True
77,89,0,-84.525,39.071,1.0,0.0,True
78,88,0,-88.393,37.155,0.9887640449438202,0.0,True
79,87,0,-88.572,37.058,0.9775280898876404,0.0,True
80,83,0,-86.94,37.205,0.9325842696629213,0.0,True
81,87,0,-85.437,38.389,0.9775280898876404,0.0,True
82,89,0,-88.017,36.791,1.0,0.0,True
83,89,0,-84.394,42.798,1.0,0.0,True
84,87,3,-83.686,43.025,0.9775280898876404,0.034482758620689655,True
85,89,0,-83.462,43.168,1.0,0.0,True
86,79,0,-84.536,42.738,0.8876404494382022,0.0,True
87,89,0,-85.672,42.985,1.0,0.0,True
88,87,0,-85.413,43.042,0.9775280898876404,0.0,True
89,89,0,-83.006,42.513,1.0,0.0,True
90,89,0,-86.222,43.284,1.0,0.0,True
91,85,0,-86.17,43.131,0.9550561797752809,0.0,True
92,89,0,-83.183,42.463,1.0,0.0,True
93,89,0,-83.711,42.294,1.0,0.0,True
94,76,0,-83.778,42.156,0.8539325842696629,0.0,True
95,89,0,-83.21,42.229,1.0,0.0,True
96,87,0,-83.097,42.358,0.9775280898876404,0.0,True
97,89,0,-83.001,42.431,1.0,0.0,True
98,70,0,-83.403,42.388,0.7865168539325843,0.0,True
99,81,1,-93.15,37.381,0.9101123595505618,0.012345679012345678,True
100,85,0,-93.263,37.121,0.9550561797752809,0.0,True
101,86,8,-90.226,38.873,0.9662921348314607,0.09302325581395349,True
102,85,0,-90.344,38.522,0.9550561797752809,0.0,True
103,89,0,-90.496,38.614,1.0,0.0,True
104,85,0,-90.346,38.642,0.9550561797752809,0.0,True
105,88,0,-90.286,38.766,0.9887640449438202,0.0,True
106,88,0,-90.379,38.728,0.9887640449438202,0.0,True
107,87,0,-90.264,38.543,0.9775280898876404,0.0,True
108,85,0,-90.284,38.621,0.9550561797752809,0.0,True
109,83,0,-90.199,38.624,0.9325842696629213,0.0,True
110,83,0,-90.247,38.683,0.9325842696629213,0.0,True
111,88,0,-84.052,40.772,0.9887640449438202,0.0,True
112,88,0,-84.544,39.383,0.9887640449438202,0.0,True
113,19,0,-84.391,39.531,0.21348314606741572,0.0,False
114,87,0,-83.804,40.001,0.9775280898876404,0.0,True
115,89,0,-83.996,39.856,1.0,0.0,True
116,89,0,-84.176,39.076,1.0,0.0,True
117,88,0,-83.787,39.427,0.9887640449438202,0.0,True
118,78,0,-83.041,39.993,0.8764044943820225,0.0,True
119,89,0,-82.993,39.962,1.0,0.0,True
120,88,0,-82.96,40.087,0.9887640449438202,0.0,True
121,88,0,-84.366,39.279,0.9887640449438202,0.0,True
122,87,0,-84.7,39.216,0.9775280898876404,0.0,True
123,89,0,-84.546,39.14,1.0,0.0,True
124,82,0,-83.53,41.647,0.9213483146067416,0.0,True
125,89,0,-83.476,41.718,1.0,0.0,True
126,83,0,-84.195,39.814,0.9325842696629213,0.0,True
127,86,0,-84.721,39.836,0.9662921348314607,0.0,True
128,89,0,-84.203,39.427,1.0,0.0,True
129,89,0,-89.413,43.559,1.0,0.0,True
130,89,0,-89.363,43.118,1.0,0.0,True
131,89,0,-89.335,43.247,1.0,0.0,True
132,89,0,-88.622,43.469,1.0,0.0,True
