Scenario,Model,RMSE,MAE,CRPS,Coverage,AIW
1,Gaussian Neural Model,0.309 (0.148),0.204 (0.089),0.162 (0.060),0.981 (0.035),1.541 (0.395)
1,Stationary Skew-t Neural Model,0.302 (0.140),0.197 (0.081),0.159 (0.055),0.983 (0.035),1.547 (0.390)
1,Sparse Variational GP,0.391 (0.124),0.285 (0.088),0.207 (0.054),0.969 (0.047),1.653 (0.225)
1,Proposed Adaptive NSST-BNF,0.279 (0.146),0.177 (0.081),0.131 (0.052),0.988 (0.029),1.344 (0.245)
2,Gaussian Neural Model,0.298 (0.126),0.209 (0.088),0.169 (0.056),0.988 (0.045),1.675 (0.303)
2,Stationary Skew-t Neural Model,0.296 (0.124),0.209 (0.087),0.168 (0.056),0.988 (0.045),1.692 (0.309)
2,Sparse Variational GP,0.371 (0.157),0.277 (0.114),0.205 (0.078),0.977 (0.046),1.745 (0.520)
2,Proposed Adaptive NSST-BNF,0.263 (0.125),0.179 (0.084),0.128 (0.053),0.995 (0.030),1.302 (0.343)
3,Gaussian Neural Model,0.309 (0.126),0.217 (0.089),0.165 (0.062),0.973 (0.045),1.459 (0.385)
3,Stationary Skew-t Neural Model,0.310 (0.125),0.215 (0.089),0.163 (0.061),0.972 (0.047),1.464 (0.380)
3,Sparse Variational GP,0.383 (0.157),0.294 (0.112),0.216 (0.079),0.980 (0.036),1.796 (0.492)
3,Proposed Adaptive NSST-BNF,0.273 (0.112),0.187 (0.076),0.132 (0.048),0.991 (0.033),1.358 (0.379)
4,Gaussian Neural Model,0.531 (0.449),0.393 (0.359),0.302 (0.293),0.908 (0.163),1.753 (0.388)
4,Stationary Skew-t Neural Model,0.526 (0.440),0.391 (0.353),0.301 (0.291),0.912 (0.168),1.766 (0.378)
4,Sparse Variational GP,0.497 (0.262),0.378 (0.193),0.275 (0.141),0.977 (0.044),2.234 (1.052)
4,Proposed Adaptive NSST-BNF,0.479 (0.326),0.354 (0.277),0.257 (0.200),0.972 (0.060),1.996 (0.818)
5,Gaussian Neural Model,0.464 (0.189),0.344 (0.152),0.256 (0.104),0.939 (0.076),1.776 (0.306)
5,Stationary Skew-t Neural Model,0.469 (0.188),0.345 (0.153),0.258 (0.102),0.933 (0.079),1.802 (0.318)
5,Sparse Variational GP,0.436 (0.157),0.334 (0.127),0.238 (0.087),0.983 (0.035),1.956 (0.682)
5,Proposed Adaptive NSST-BNF,0.441 (0.193),0.319 (0.145),0.228 (0.101),0.952 (0.059),1.790 (0.714)
