Scenario,Comparator,N,RMSE_diff_mean,RMSE_diff_se,RMSE_diff_ci_low,RMSE_diff_ci_high,CRPS_diff_mean,CRPS_diff_se,CRPS_diff_ci_low,CRPS_diff_ci_high,AIW_diff_mean,AIW_diff_se,AIW_diff_ci_low,AIW_diff_ci_high,Coverage_diff_mean,Coverage_diff_se,Coverage_diff_ci_low,Coverage_diff_ci_high
1,Gaussian Neural Model,40,-0.02959817660062347,0.007915411629788626,-0.04511238339500918,-0.014083969806237764,-0.031105438138126905,0.003149822612081075,-0.037279090457805815,-0.024931785818448,-0.1969926213477855,0.0545884147976637,-0.30398591435120637,-0.08999932834436465,0.00625,0.005389478115641101,-0.004313377106656559,0.01681337710665656
1,Stationary Skew-t Neural Model,40,-0.023051483206593892,0.006384922618999043,-0.03556593153983202,-0.010537034873355767,-0.02801584253288768,0.002916764278692233,-0.033732700519124456,-0.022298984546650906,-0.2032909303477278,0.055046233650744236,-0.3111815483031865,-0.0954003123922691,0.0046875,0.005655853772068868,-0.006397973393254981,0.01577297339325498
1,Sparse Variational GP,40,-0.11123811195030223,0.02117238606213169,-0.15273598863208032,-0.06974023526852412,-0.07610049117525622,0.009268509971067984,-0.09426677071854947,-0.05793421163196297,-0.30970443898424255,0.04832463648128044,-0.40442072648755223,-0.21498815148093287,0.01875,0.007489308618940975,0.004070955106875688,0.03342904489312431
2,Gaussian Neural Model,40,-0.035252139479865496,0.006255151745183688,-0.047512236900425525,-0.022992042059305468,-0.04054000586733597,0.0029315516906482935,-0.046285847181006624,-0.03479416455366532,-0.37333425196100267,0.051438418780915186,-0.47415355277159643,-0.2725149511504089,0.0078125,0.003995377437162178,-1.843977683786864e-05,0.015643439776837867
2,Stationary Skew-t Neural Model,40,-0.033574817271706865,0.007309076620031031,-0.04790060744696768,-0.019249027096446044,-0.0402490863918575,0.003371404717418172,-0.04685703963799712,-0.033641133145717886,-0.3905015363657848,0.055648587047933615,-0.49957276697973463,-0.2814303057518349,0.0078125,0.003995377437162178,-1.843977683786864e-05,0.015643439776837867
2,Sparse Variational GP,40,-0.10864843770478383,0.023130660584321873,-0.1539845324500547,-0.06331234295951296,-0.07652493360624281,0.010746680907018918,-0.09758842818399989,-0.05546143902848573,-0.44315107129735304,0.06445741538473695,-0.5694876054514375,-0.31681453714326857,0.01875,0.00900720865153615,0.0010958710429891452,0.03640412895701085
3,Gaussian Neural Model,40,-0.036593736751515914,0.005660759011198633,-0.04768882441346523,-0.025498649089566595,-0.03277453049270709,0.004367705065496926,-0.04133523242108106,-0.02421382856433311,-0.10135117037059656,0.06689337956008808,-0.23246219430836917,0.029759853567176073,0.0171875,0.0074179202520237835,0.0026483763060333853,0.031726623693966616
3,Stationary Skew-t Neural Model,40,-0.03768405557448388,0.0071165132468457935,-0.05163242153830164,-0.023735689610666123,-0.03135396808182478,0.004719143834568163,-0.04060348999757838,-0.022104446166071177,-0.1065293824234171,0.06525071238862708,-0.23442077870512618,0.021362013858291964,0.01875,0.007816505383498203,0.003429649448343522,0.03407035055165648
3,Sparse Variational GP,40,-0.11043830489155464,0.022830235289572717,-0.15518556605911715,-0.06569104372399212,-0.08372257057999558,0.010754662595364218,-0.10480170926690945,-0.0626434318930817,-0.43775576591704335,0.06180950329215286,-0.558902392369663,-0.31660913946442376,0.0109375,0.007036812258602648,-0.0028546520268611895,0.024729652026861188
4,Gaussian Neural Model,40,-0.05177320621235173,0.02171960315871621,-0.09434362840343549,-0.009202784021267958,-0.045183571483221566,0.015836088090642436,-0.07622230414088074,-0.014144838825562393,0.2435872395549942,0.10403052514752381,0.039687410265847545,0.44748706884414086,0.0640625,0.019825902406952374,0.02520373128237334,0.10292126871762665
4,Stationary Skew-t Neural Model,40,-0.046871091195454594,0.020827357196697236,-0.08769271130098118,-0.00604947108992801,-0.04405678476401276,0.015832397385442395,-0.07508828363947985,-0.013025285888545665,0.23038635012418812,0.10639687145514387,0.02184848207210613,0.43892421817627014,0.059375,0.020381723760799487,0.019426821428833,0.09932317857116699
4,Sparse Variational GP,40,-0.01808833463552496,0.027489296316291843,-0.07196735541545697,0.03579068614440706,-0.017984158007503866,0.015722019013758932,-0.04879931527447137,0.01283099925946364,-0.23764492211100458,0.07173717144138127,-0.3782497781361118,-0.0970400660858973,-0.0046875,0.011275678493144845,-0.026787829846563898,0.017412829846563897
5,Gaussian Neural Model,40,-0.023550629667409756,0.010678287142359296,-0.04448007246643398,-0.0026211868683855347,-0.027507461482087797,0.004954566401964822,-0.03721841162993885,-0.017796511334236743,0.014227079683600586,0.09920986742102236,-0.18022426046160323,0.20867841982880442,0.0125,0.013464399879035237,-0.013890223762909062,0.038890223762909064
5,Stationary Skew-t Neural Model,40,-0.02792565326420775,0.010060936816378364,-0.04764508942430934,-0.00820621710410616,-0.029188593420114324,0.004315281109279104,-0.037646544394301366,-0.02073064244592728,-0.011479711126570346,0.0956183561544505,-0.1988916891892933,0.17593226693615263,0.01875,0.014011213457945123,-0.00871197837757244,0.04621197837757244
5,Sparse Variational GP,40,0.005130248212694938,0.019130181766898614,-0.03236490805042635,0.04262540447581622,-0.009370807150573163,0.008410427178908312,-0.025855244421233454,0.007113630120087127,-0.16589042307698854,0.05820918623337314,-0.2799804280943999,-0.05180041805957718,-0.03125,0.010963225241337865,-0.05273792147302221,-0.009762078526977785
