Scenario,Model,N,RMSE_mean,RMSE_sd,RMSE_se,RMSE_median,RMSE_iqr,MAE_mean,MAE_sd,MAE_se,MAE_median,MAE_iqr,CRPS_mean,CRPS_sd,CRPS_se,CRPS_median,CRPS_iqr,Coverage_mean,Coverage_sd,Coverage_se,Coverage_median,Coverage_iqr,AIW_mean,AIW_sd,AIW_se,AIW_median,AIW_iqr,Iterations_mean,Iterations_sd,Iterations_median,EarlyStop_frac,TailCV_mean,TailRelSlopeAbs_mean
1,Gaussian Neural Model,40,0.30886894428259043,0.14823116505039902,0.023437405088980432,0.2782497747471473,0.1859999342448243,0.2037588089943721,0.0892575058158352,0.014112850832188242,0.17449434103858846,0.10230443315712312,0.16167402506315764,0.060288280143559705,0.009532414073397586,0.1468888072680977,0.06111908149187323,0.98125,0.03524183848052169,0.005572223926510804,1.0,0.015625,1.5405225063059846,0.39523927004507425,0.06249281570423978,1.5858758814053866,0.46544931278987267,522.5,57.679485754669116,500.0,0.95,0.024980669166988413,0.0001556740075631708
1,Proposed Adaptive NSST-BNF,40,0.27927076768196696,0.146001958854865,0.02308493664137812,0.24311987788614137,0.22950336978857075,0.17727907353776196,0.08121796431012102,0.01284168770711242,0.1548216488327738,0.12325937978493015,0.13056858692503076,0.05160504007878024,0.00815947326966103,0.11603677151142044,0.07113226197856176,0.9875,0.029005967555766066,0.0045862461606583915,1.0,0.0,1.3435298849581994,0.24469119574927278,0.03868907509789066,1.332765055174491,0.3390559322023936,775.0,63.04251719561152,800.0,1.0,0.01527195946947801,0.00012418017379094902
1,Sparse Variational GP,40,0.39050887963226916,0.12438061011434075,0.019666301236134644,0.38427416894558564,0.20710014651893405,0.28480023486691064,0.08846195014586894,0.013987062436060512,0.28229840204234474,0.1166549112653929,0.20666907810028698,0.0544549706655467,0.008610086861039137,0.19982904929760176,0.07895589223618757,0.96875,0.046941726012425675,0.00742213857494193,1.0,0.0625,1.6532343239424414,0.22543212256301073,0.03564394825326744,1.6537368551461573,0.2907090272292012,850.0,90.58216273156766,900.0,0.975,0.011875019752943427,0.000132407721200183
1,Stationary Skew-t Neural Model,40,0.30232225088856085,0.1403095249554005,0.022184883813765034,0.285384064511774,0.19216323002577207,0.19746152031020917,0.08105168670933527,0.012815396909994862,0.1837065322098464,0.09944007453820886,0.15858442945791845,0.05504546549752946,0.008703452291820334,0.14693425400928706,0.0706691707495177,0.9828125,0.03463263014142617,0.005475899630455301,1.0,0.0,1.5468208153059269,0.38954789365527775,0.061592930083586614,1.6209065267562832,0.4307910529015162,535.0,53.3493565673837,500.0,0.925,0.028214309454928442,0.0001429297401681875
2,Gaussian Neural Model,40,0.29791674001164337,0.12611001896207208,0.01993974478435856,0.262056883516971,0.157414188036458,0.20850134227753347,0.0884858686164663,0.013990844278322284,0.18793686768199175,0.11676149849282313,0.1687598435204356,0.05572221362010739,0.00881045556529979,0.16230044756284123,0.048072242599580345,0.9875,0.04520253566747368,0.007147148436210819,1.0,0.0,1.6750270163711196,0.30286613666317974,0.047887340899573826,1.6489838416813403,0.3194125444453928,525.0,49.354811679282456,500.0,0.925,0.02575283797063397,0.00015109194638811163
2,Proposed Adaptive NSST-BNF,40,0.2626646005317779,0.12506333297417233,0.019774249198521228,0.2238955352429619,0.13882312800039942,0.17919677145710344,0.0836017064179127,0.013218590427866037,0.1585579054778681,0.09250863094605896,0.1282198376530996,0.05333667181563118,0.008433268287515146,0.1180085197695107,0.047980994708175684,0.9953125,0.029646353064078552,0.004687499999999999,1.0,0.0,1.301692764410117,0.34255421671122066,0.054162577345118534,1.268746051874186,0.3436790797750138,770.0,72.3240570679579,800.0,1.0,0.017185292584039585,0.00013104123582476256
2,Sparse Variational GP,40,0.3713130382365617,0.15650178558766986,0.024745105017017502,0.33509494988752997,0.19390642541873165,0.27693592128860633,0.11352595719201218,0.017950029913876592,0.23815474196072814,0.15297692079530678,0.20474477125934243,0.07804158569315599,0.012339458150079169,0.18872094025040032,0.1028280921145569,0.9765625,0.0462701359493273,0.007315950862275577,1.0,0.015625,1.74484383570747,0.5196412074550353,0.082162489081899,1.6417416095391373,0.5194097456580449,852.5,130.06408676751116,900.0,0.95,0.012881560066006242,0.00014037213733992943
2,Stationary Skew-t Neural Model,40,0.29623941780348473,0.12402830498276013,0.01961059690377664,0.2585062106442766,0.1558784774860518,0.2090960547517749,0.08656889075547133,0.013687743465079196,0.1803284504104638,0.10788138469131464,0.16846892404495714,0.055746940326445116,0.008814365200852856,0.16144273986326768,0.04868908116422707,0.9875,0.04520253566747368,0.007147148436210819,1.0,0.0,1.692194300775902,0.30883528694630896,0.04883114642910019,1.6581840501781766,0.3934226161660317,525.0,58.83484054145521,500.0,0.975,0.02649069066732193,0.00015465591407712022
3,Gaussian Neural Model,40,0.3092918363452866,0.126465717314998,0.01999598563211938,0.2848326391277852,0.16109598304323994,0.21663816088169757,0.08949832007559123,0.014150926909882067,0.19816558825275415,0.11229259312418041,0.16479399381634768,0.06194148632080394,0.009793808921495178,0.15192892458525745,0.07260668954915667,0.9734375,0.044504708408356304,0.007036812258602648,1.0,0.0625,1.4591745229661726,0.3846554889586895,0.06081937297976042,1.5227049084030002,0.516322976782569,512.5,46.340434799814915,500.0,0.95,0.023226043850754458,0.00016287111693725348
3,Proposed Adaptive NSST-BNF,40,0.2726980995937707,0.11177662972530639,0.01767343695546246,0.2471896759821725,0.1718195685375835,0.18653461348050193,0.07590388168281734,0.012001457468281854,0.1773570996032876,0.10463160347483746,0.13201946332364062,0.04818454803285792,0.007618645990480841,0.1240704231817665,0.06883529857521363,0.990625,0.03334334785461481,0.005272046201793583,1.0,0.0,1.357823352595576,0.3786318516255148,0.059866952291177694,1.2386470282072999,0.5616719604857194,787.5,51.577673563824206,800.0,1.0,0.014572745502613633,0.00011379247806044801
