Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R,PriorSetting,PriorMultiplier,MeanPriorSD,AlphaPriorSD,RangePriorSD
4,3001,Proposed Adaptive NSST-BNF,0.2783978100946641,0.2002972226040829,0.1501577911034224,1.0,1.5379299284220194,33.25929091500029,800,1,2449.4479164209297,2503.1906547225485,45.174898055375614,-0.4010332576476829,-0.0001602088346291,0.0180469266174944,577.444072620647,2656.4139076507568,300,1.55829574558356,-0.0232985340648692,0.6978841270551747,-0.0318719249903292,0.9826263274945898,-3.811434495711608,0.7468309703130839,0.5665312834135262,strong,0.5,0.175,0.25,0.175
4,3002,Proposed Adaptive NSST-BNF,0.158699563054066,0.1361547870984041,0.1143373714490726,1.0,1.7583098330279068,34.62577791900003,900,1,1721.5099081888295,1752.144586156264,33.14503505245429,-0.2068966153597452,-0.0001180819305635,0.0189168378650563,184.3807156202628,316.1885116098724,300,1.5233786825749982,-0.0178537332320165,0.7266172679461357,-0.0122076618285773,0.930651451883154,-3.413637852587242,0.7651521019091039,0.5906168326261892,strong,0.5,0.175,0.25,0.175
4,3003,Proposed Adaptive NSST-BNF,0.5658330830450895,0.3868596328921391,0.2522939395585033,1.0,1.9162684298550512,15.065647021000132,900,1,1383.030512192876,1399.344946766761,23.32833877161094,-0.1315458930086635,-9.40053367917647e-05,0.0166708993558106,98.830245405115,285.1643792301532,300,1.46054150154749,-0.0463993991133842,0.6894687378023386,-0.0610499803333521,0.8752876573480026,-3.2716704762596542,0.74663096590325,0.5833156373594475,strong,0.5,0.175,0.25,0.175
4,3004,Proposed Adaptive NSST-BNF,0.3925377572098718,0.2629653895037215,0.1670891605803607,1.0,1.7876319863072463,12.095430875000147,900,1,1815.249454450202,1843.9135974729536,23.918496803226397,-0.2298284450147443,-0.0001246416563822,0.0129715930486147,203.26556755725125,388.0742736955166,300,1.3688137497295692,-0.1539927089307224,0.6609751318793907,-0.1738193252730595,0.8766797011600258,-3.5633733517285053,0.7443703589830616,0.5986201927929471,strong,0.5,0.175,0.25,0.175
4,3005,Proposed Adaptive NSST-BNF,0.1728024118607688,0.1112757907318383,0.0825671307282787,1.0,0.9838290743052602,9.99763145299994,800,1,2184.3699518111976,2151.840561985431,46.17115014050545,-0.4712319329114797,-0.0002189901711289,0.0214565851002942,294.163218599604,857.4092813893188,300,1.4825558454233687,-0.0010893743691899,0.7040892553121981,-0.0027016439506333,0.8564292689372962,-3.697133036865664,0.7035263581550304,0.6538912415474429,strong,0.5,0.175,0.25,0.175
4,3001,Proposed Adaptive NSST-BNF,0.3209997143247696,0.2082014686627875,0.1622533547866542,0.9375,1.602445772082805,13.767406429999935,700,1,2526.186632011888,2561.2831975664217,35.0183508759762,-0.2646480887897169,-0.00010332636744,0.0136721901386182,757.2633146660378,3006.946780822592,300,1.5668695494885836,-0.0345899686073032,0.7086602260143214,-0.0639844279627259,0.9779676077409628,-3.765919759862216,0.7385924698019191,0.5718610523595626,baseline,1.0,0.35,0.5,0.35
4,3002,Proposed Adaptive NSST-BNF,0.1319911631347864,0.1040368691991109,0.1028550797316604,1.0,1.5448167564601765,14.569051813999977,800,1,2200.658026204572,2237.436126847124,39.94270629383564,-0.2442945865042753,-0.0001091850549711,0.0178519984613463,109.41874099348992,405.9161627246116,300,1.5164085434943415,-0.0085607692150333,0.7224530210135067,-0.0006389735871807,0.9314499053133238,-3.421214472215939,0.7665784911331751,0.5896123883052434,baseline,1.0,0.35,0.5,0.35
4,3003,Proposed Adaptive NSST-BNF,0.5413208942317559,0.3751163092908025,0.2443865451643518,1.0,1.7591882687043865,14.63963963399965,800,1,2125.4479042612875,2152.9028620789227,27.23382121529129,-0.2397138503718776,-0.0001113444803266,0.0126498142089853,80.45874483952551,324.45898367336974,300,1.4505542135440492,-0.032137618997454,0.6789545795988736,-0.0289354439403595,0.871368523280377,-3.2335029793094714,0.7391111940497526,0.5873099817078119,baseline,1.0,0.35,0.5,0.35
4,3004,Proposed Adaptive NSST-BNF,0.466307652162698,0.2622139025672517,0.1751118590606415,1.0,1.4333326688555053,22.357255493999677,800,1,2264.564372605336,2291.777746664068,29.127237336702315,-0.2440192727372215,-0.0001064759761684,0.0127094511582112,152.62392469523408,495.2195338602013,300,1.3630416785149286,-0.1442808192627678,0.654993012477319,-0.1526682978358882,0.8691545321768458,-3.485368186330144,0.7303103052578364,0.6060420754324037,baseline,1.0,0.35,0.5,0.35
4,3005,Proposed Adaptive NSST-BNF,0.1909237796815447,0.1281832026479377,0.0962220613868921,1.0,0.9158044242462662,13.722908252000252,800,1,2613.712447949995,2456.745402089053,37.462374996102405,-0.2105701715504079,-8.571102702435222e-05,0.0152487819715656,428.36927703503807,1913.6792848064108,300,1.482821196380992,-0.0014477605944103,0.7045165852212439,-0.0039191442268762,0.8554323227884058,-3.686203790732112,0.7015855951528592,0.6546798183273673,baseline,1.0,0.35,0.5,0.35
4,3001,Proposed Adaptive NSST-BNF,0.3645202463946339,0.221568663609111,0.1814029413345962,0.9375,1.5489414129097312,11.96085987699962,600,1,3055.53390230944,3118.8559932860903,56.22557663715702,-0.5116165568036847,-0.0001640398139269,0.0180276283221132,723.0946846442246,2691.996539144454,300,1.5637049698052146,-0.0304151014237905,0.7045267497235228,-0.0516086008950233,0.990317857282718,-3.887052517362672,0.7565995293476094,0.5387729860247711,weak,2.0,0.7,1.0,0.7
4,3002,Proposed Adaptive NSST-BNF,0.1396061353815285,0.1101411967902746,0.0963837771312973,1.0,1.3569180910381156,11.926429509999709,600,1,2913.8607954144973,2990.115935935912,69.6395383268378,-0.6218927172104644,-0.0002079828108791,0.0232899124378066,185.5741989294221,860.5838192399998,300,1.5177583367100835,-0.0103570587110006,0.7229355366316154,-0.0019760436920992,0.926564965598176,-3.3749624238343303,0.7568062602640078,0.5874513848773403,weak,2.0,0.7,1.0,0.7
4,3003,Proposed Adaptive NSST-BNF,0.488168107851979,0.3488480290306456,0.2309111564363261,1.0,1.6544614314889368,11.423136110000089,600,1,2901.392858882267,2973.490030623389,69.9276098770177,-0.6262947475317194,-0.0002106261467439,0.0235170150754994,86.35394649271177,537.5942677234319,300,1.4387479652340165,-0.0154045903074599,0.670271963684576,-0.002787222749196,0.8606549328173236,-3.130040008486989,0.726860618931805,0.6210737284797058,weak,2.0,0.7,1.0,0.7
4,3004,Proposed Adaptive NSST-BNF,0.5502266722590349,0.3019708989683698,0.2094156052407094,0.9375,1.5423468859424774,26.90169753599957,600,1,2947.9775191226554,3016.300294421292,65.51689149602392,-0.5685015256253055,-0.0001884764347491,0.0217209445681514,241.02421476447643,943.6869979084588,300,1.375597976738869,-0.1654600831362513,0.6681798707046234,-0.1995484425894882,0.8673823877071589,-3.4670961375902563,0.7275281784455739,0.6082596519879773,weak,2.0,0.7,1.0,0.7
